,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
0,Irwin Rivera,50.33,1.0,0.0,0.0,51.33,1.0,2.0,0.33,['Bantamweight' 'Featherweight']
1,Nathaniel Wood,69.89,1.67,0.44,0.22,72.22,7.0,2.0,0.78,['Featherweight' 'Bantamweight']
2,Ricardo Ramos,29.82,1.73,0.45,0.27,32.27,7.0,4.0,0.64,['Featherweight' 'Bantamweight']
3,Mara Romero Borella,23.86,1.14,0.14,0.0,25.14,2.0,5.0,0.29,"[""Women's Flyweight""]"
4,Edmen Shahbazyan,27.0,1.22,0.33,0.33,28.879999999999995,5.0,4.0,0.56,['Middleweight']
5,Alexander Yakovlev,19.22,1.22,0.11,0.22,20.769999999999996,3.0,6.0,0.33,['Lightweight' 'Welterweight']
6,Jamey Simmons,4.5,0.0,0.0,0.0,4.5,0.0,2.0,0.0,['Bantamweight' 'Featherweight']
7,Cain Carrizosa,22.0,0.0,0.0,0.5,22.5,0.0,2.0,0.0,['Lightweight']
8,Rafael Estevam,18.0,3.0,1.0,0.0,22.0,1.0,0.0,1.0,['Flyweight']
9,Viktoriia Dudakova,38.5,0.5,0.0,0.5,39.5,2.0,0.0,1.0,"[""Women's Strawweight""]"
10,Seo Hee Ham,63.0,0.0,0.25,0.0,63.25,1.0,3.0,0.25,"[""Women's Strawweight""]"
11,Rodrigo de Lima,14.5,2.0,1.0,0.0,17.5,0.0,2.0,0.0,['Lightweight' 'Welterweight']
12,Jason Black,5.0,0.0,4.5,0.0,9.5,0.0,2.0,0.0,['Lightweight']
13,Paulo Costa,56.0,0.29,0.0,0.57,56.86,6.0,1.0,0.86,['Middleweight']
14,Sean Spencer,57.0,0.12,0.0,0.38,57.5,3.0,5.0,0.38,['Welterweight' 'Middleweight']
15,Bruno Silva,35.54,1.0,0.08,0.54,37.16,7.0,6.0,0.54,['Middleweight' 'Flyweight']
16,Michelle Waterson-Gomez,44.09,1.36,0.64,0.0,46.09,5.0,6.0,0.45,"[""Women's Strawweight""]"
17,Tateki Matsuda,48.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0,['Flyweight' 'Bantamweight']
18,Nathan Coy,23.67,1.67,0.0,0.0,25.340000000000003,1.0,2.0,0.33,['Welterweight']
19,Gan McGee,11.0,0.0,0.0,0.0,11.0,2.0,1.0,0.67,['Heavyweight']
20,Roy Nelson,21.06,0.67,0.06,0.5,22.29,9.0,9.0,0.5,['Heavyweight']
21,Adrian Yanez,43.14,0.0,0.0,0.71,43.85,5.0,2.0,0.71,['Bantamweight']
22,Ryan McGillivray,19.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,['Welterweight']
23,Hector Sandoval,17.75,1.25,0.5,0.0,19.5,2.0,2.0,0.5,['Flyweight']
24,Mike de la Torre,21.17,0.17,0.0,0.17,21.510000000000005,2.0,4.0,0.33,['Featherweight' 'Lightweight']
25,Antonio Braga Neto,13.33,2.0,0.33,0.0,15.66,1.0,2.0,0.33,['Middleweight']
26,Victor Valimaki,33.0,0.5,0.0,0.0,33.5,0.0,2.0,0.0,['Light Heavyweight']
27,Shamil Abdurakhimov,23.6,0.3,0.0,0.2,24.1,5.0,5.0,0.5,['Heavyweight']
28,Yazmin Jauregui,51.0,0.0,0.0,0.67,51.67,2.0,1.0,0.67,"[""Women's Strawweight""]"
29,Hakeem Dawodu,73.4,0.0,0.0,0.1,73.5,6.0,4.0,0.6,['Featherweight']
30,Tom DeBlass,22.5,1.0,0.5,0.0,24.0,0.0,2.0,0.0,['Middleweight' 'Light Heavyweight']
31,Mike van Arsdale,17.5,0.75,0.25,0.0,18.5,2.0,2.0,0.5,['Light Heavyweight' 'Heavyweight']
32,HyunSung Park,38.0,1.0,3.0,0.0,42.0,1.0,0.0,1.0,['Flyweight']
33,Yancy Medeiros,37.57,0.21,0.43,0.57,38.78,6.0,8.0,0.43,['Lightweight' 'Welterweight']
34,Trevor Smith,43.17,1.33,0.5,0.17,45.17,5.0,7.0,0.42,['Middleweight']
35,Glaico Franca Moreira,35.0,2.67,0.33,0.0,38.0,1.0,2.0,0.33,['Lightweight']
36,Mike Rhodes,33.33,0.67,0.33,0.0,34.33,0.0,3.0,0.0,['Welterweight']
37,Sean Alvarez,6.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,['Heavyweight']
38,Matt Hamill,40.43,2.21,0.0,0.07,42.71,9.0,5.0,0.64,['Light Heavyweight']
39,Shavkat Rakhmonov,35.8,0.8,0.8,0.2,37.599999999999994,5.0,0.0,1.0,['Welterweight']
40,Rafael Natal,38.59,2.12,0.41,0.29,41.41,9.0,8.0,0.53,['Middleweight']
41,Darrius Flowers,36.0,1.0,0.0,0.0,37.0,0.0,1.0,0.0,['Welterweight']
42,Tecia Torres,65.07,0.6,0.07,0.07,65.80999999999997,9.0,6.0,0.6,"[""Women's Strawweight""]"
43,Josh Neer,31.53,0.67,0.87,0.07,33.14,6.0,9.0,0.4,['Welterweight' 'Lightweight']
44,Mateus Mendonca,16.0,1.0,0.0,0.0,17.0,0.0,2.0,0.0,['Flyweight' 'Bantamweight']
45,Maycee Barber,49.1,0.8,0.1,0.0,50.0,8.0,2.0,0.8,"[""Women's Flyweight"" ""Women's Strawweight""]"
46,Ricky Glenn,43.3,0.4,0.3,0.3,44.29999999999999,4.0,6.0,0.4,['Lightweight' 'Featherweight']
47,Denis Kang,22.67,2.67,0.67,0.33,26.340000000000003,1.0,2.0,0.33,['Middleweight']
48,Ray Borg,22.73,3.82,1.09,0.0,27.64,7.0,4.0,0.64,['Bantamweight' 'Flyweight']
49,Chad Mendes,23.38,2.0,0.15,0.62,26.15,9.0,4.0,0.69,['Featherweight']
50,Landon Quinones,148.0,0.0,0.0,0.0,148.0,0.0,1.0,0.0,['Lightweight']
51,Nurullo Aliev,19.0,3.0,0.0,0.0,22.0,1.0,0.0,1.0,['Lightweight']
52,Aljamain Sterling,54.73,1.67,0.87,0.0,57.269999999999996,11.0,4.0,0.73,['Bantamweight']
53,Eddie Alvarez,50.0,1.5,0.12,0.12,51.739999999999995,5.0,3.0,0.62,['Lightweight']
54,Levan Makashvili,43.0,3.67,0.0,0.0,46.67,1.0,2.0,0.33,['Featherweight']
55,Brian Stann,30.27,0.0,0.27,0.64,31.18,6.0,5.0,0.55,['Light Heavyweight' 'Middleweight']
56,John Howard,26.36,2.21,0.36,0.14,29.07,7.0,7.0,0.5,['Welterweight' 'Middleweight']
57,Piera Rodriguez,48.33,3.0,0.0,0.0,51.33,2.0,1.0,0.67,"[""Women's Strawweight""]"
58,Tanner Boser,51.6,0.0,0.0,0.2,51.800000000000004,5.0,5.0,0.5,['Light Heavyweight' 'Heavyweight']
59,Dan Stittgen,28.5,0.5,0.0,0.0,29.0,0.0,2.0,0.0,['Welterweight']
60,Che Mills,8.33,0.67,0.0,0.67,9.67,2.0,1.0,0.67,['Welterweight']
61,Rashad Coulter,43.5,0.0,0.0,0.25,43.75,1.0,3.0,0.25,['Heavyweight' 'Light Heavyweight']
62,Mike Kyle,10.0,0.33,0.33,0.67,11.33,2.0,1.0,0.67,['Heavyweight']
63,Vitor Petrino,30.33,4.0,1.0,0.33,35.66,3.0,0.0,1.0,['Light Heavyweight']
64,Alan Patrick,20.9,2.3,0.2,0.1,23.5,6.0,4.0,0.6,['Lightweight']
65,Montserrat Conejo Ruiz,7.25,1.25,0.5,0.0,9.0,1.0,3.0,0.25,"[""Women's Strawweight""]"
66,Tyler Diamond,51.0,3.0,0.0,0.0,54.0,0.0,1.0,0.0,['Featherweight']
67,Hernani Perpetuo,41.0,0.0,0.5,0.0,41.5,0.0,2.0,0.0,['Welterweight']
68,Melissa Dixon,52.0,0.0,0.0,0.0,52.0,1.0,0.0,1.0,"[""Women's Bantamweight""]"
69,Sarah Kaufman,98.0,0.67,0.0,0.0,98.67,1.0,2.0,0.33,"[""Women's Bantamweight""]"
70,Alex Perez,28.67,1.22,0.44,0.33,30.66,6.0,3.0,0.67,['Flyweight' 'Bantamweight']
71,Marco Beltran,26.2,0.6,0.2,0.2,27.2,3.0,2.0,0.6,['Flyweight' 'Bantamweight']
72,Pat Barry,15.67,0.0,0.08,0.67,16.42,5.0,7.0,0.42,['Heavyweight']
73,Sean Brady,46.71,2.71,1.0,0.14,50.56,6.0,1.0,0.86,['Welterweight']
74,Vince Morales,49.75,0.12,0.0,0.25,50.12,3.0,5.0,0.38,['Bantamweight' 'Featherweight']
75,Leigh Remedios,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,['Lightweight']
76,Charlie Valencia,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,['Bantamweight']
77,Pablo Garza,26.17,0.5,0.5,0.17,27.340000000000003,3.0,3.0,0.5,['Featherweight']
78,Mark Munoz,26.27,1.87,0.33,0.13,28.599999999999998,9.0,6.0,0.6,['Middleweight' 'Light Heavyweight']
79,Nad Narimani,50.33,2.33,0.0,0.0,52.66,2.0,1.0,0.67,['Featherweight']
80,Rafael Fiziev,56.38,0.25,0.0,0.12,56.75,5.0,3.0,0.62,['Lightweight']
81,Tatiana Suarez,39.86,3.86,0.57,0.0,44.29,7.0,0.0,1.0,"[""Women's Strawweight"" ""Women's Flyweight""]"
82,Rodolfo Bellato,80.0,1.0,0.0,0.0,81.0,1.0,0.0,1.0,['Light Heavyweight']
83,Shane Roller,20.67,0.83,0.33,0.17,22.0,2.0,4.0,0.33,['Lightweight']
84,Sam Alvey,31.58,0.04,0.04,0.29,31.949999999999996,10.0,14.0,0.42,['Middleweight' 'Light Heavyweight']
85,Darrill Schoonover,16.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,['Heavyweight']
86,Adrian Serrano,6.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,['Welterweight']
87,Eddie Wineland,32.94,0.19,0.0,0.5,33.629999999999995,6.0,10.0,0.38,['Bantamweight']
88,John Alessio,19.8,0.4,0.6,0.0,20.8,0.0,5.0,0.0,['Lightweight' 'Welterweight']
89,Jeff Newton,2.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,['Light Heavyweight']
90,Francisco Trinaldo,38.81,0.81,0.42,0.19,40.230000000000004,18.0,8.0,0.69,['Welterweight' 'Lightweight' 'Middleweight']
91,Shane Carwin,21.83,0.33,0.0,0.67,22.83,4.0,2.0,0.67,['Heavyweight']
92,SeungWoo Choi,39.89,0.67,0.0,0.56,41.120000000000005,4.0,5.0,0.44,['Featherweight']
93,Maria Oliveira,77.25,1.0,0.0,0.0,78.25,1.0,3.0,0.25,"[""Women's Strawweight""]"
94,Steve Cantwell,41.67,0.5,0.5,0.0,42.67,1.0,5.0,0.17,['Middleweight' 'Light Heavyweight']
95,Ken Shamrock,4.8,0.2,0.4,0.2,5.6000000000000005,1.0,4.0,0.2,['Light Heavyweight' 'Heavyweight']
96,John Dodson,37.57,0.64,0.0,0.71,38.92,10.0,4.0,0.71,['Bantamweight' 'Flyweight']
97,James Head,20.2,0.2,0.4,0.2,20.999999999999996,2.0,3.0,0.4,['Welterweight' 'Middleweight']
98,Travis Wiuff,1.5,1.0,0.5,0.0,3.0,0.0,2.0,0.0,['Light Heavyweight' 'Heavyweight']
99,Mark Madsen,37.33,2.0,0.0,0.0,39.33,4.0,2.0,0.67,['Lightweight']
100,Miranda Granger,27.75,0.0,0.0,0.0,27.75,1.0,3.0,0.25,"[""Women's Strawweight"" ""Women's Flyweight""]"
101,Takanori Gomi,28.23,0.08,0.0,0.15,28.459999999999997,4.0,9.0,0.31,['Lightweight']
102,Chris Wilson,33.25,1.25,1.5,0.75,36.75,1.0,3.0,0.25,['Welterweight']
103,Andre Ewell,60.12,0.25,0.0,0.12,60.489999999999995,4.0,4.0,0.5,['Featherweight' 'Bantamweight']
104,Tom Breese,23.5,0.0,0.5,0.5,24.5,5.0,3.0,0.62,['Middleweight' 'Welterweight']
105,Bea Malecki,61.33,0.0,0.67,0.0,62.0,2.0,1.0,0.67,"[""Women's Bantamweight""]"
106,Din Thomas,20.22,1.0,0.89,0.11,22.22,5.0,4.0,0.56,['Lightweight']
107,Marcio Alexandre Junior,22.33,0.33,0.33,0.0,22.989999999999995,0.0,3.0,0.0,['Welterweight' 'Middleweight']
108,Montana De La Rosa,32.18,1.36,0.64,0.09,34.27,6.0,5.0,0.55,"[""Women's Flyweight""]"
109,Germaine de Randamie,25.86,0.0,0.29,0.29,26.439999999999998,6.0,1.0,0.86,"[""Women's Bantamweight""]"
110,Randy Couture,27.44,1.44,0.5,0.0,29.380000000000003,9.0,7.0,0.56,['Light Heavyweight' 'Heavyweight']
111,Blagoy Ivanov,53.0,0.86,0.14,0.14,54.14,3.0,4.0,0.43,['Heavyweight']
112,Wendell Oliveira Marques,15.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,['Welterweight']
113,Amanda Lemos,33.44,0.56,0.33,0.56,34.89,7.0,2.0,0.78,"[""Women's Strawweight"" ""Women's Bantamweight""]"
114,Jon Manley,17.0,1.0,0.0,0.0,18.0,0.0,1.0,0.0,['Welterweight']
115,Genaro Valdez,41.0,0.0,0.0,0.33,41.33,0.0,3.0,0.0,['Lightweight']
116,Chris Duncan,69.0,3.5,0.0,0.0,72.5,2.0,0.0,1.0,['Lightweight']
117,Allan Goes,36.0,0.0,0.0,1.0,37.0,0.0,1.0,0.0,['Middleweight']
118,Dale Hartt,4.67,0.33,0.67,0.0,5.67,1.0,2.0,0.33,['Lightweight']
119,Chris Brennan,8.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,['Welterweight']
120,Masio Fullen,26.0,0.33,0.0,0.0,26.33,1.0,2.0,0.33,['Featherweight']
121,Stephen Thompson,47.38,0.38,0.0,0.77,48.53000000000001,9.0,4.0,0.69,['Welterweight']
122,Yusuke Kasuya,24.0,1.0,0.0,0.0,25.0,0.0,2.0,0.0,['Lightweight']
123,Chris Kelades,34.75,1.0,0.25,0.0,36.0,2.0,2.0,0.5,['Flyweight']
124,Mike Breeden,50.75,0.75,0.0,0.25,51.75,1.0,3.0,0.25,['Lightweight']
125,Rolando Delgado,13.33,0.67,2.0,0.33,16.33,1.0,2.0,0.33,['Lightweight']
126,Anthony Hamilton,24.6,1.1,0.0,0.1,25.800000000000004,3.0,7.0,0.3,['Heavyweight']
127,Nissen Osterneck,35.0,1.0,1.0,0.0,37.0,0.0,1.0,0.0,['Middleweight']
128,Bojan Velickovic,32.5,0.67,0.5,0.17,33.84,2.0,4.0,0.33,['Welterweight' 'Middleweight']
129,Akbarh Arreola,24.25,0.75,0.25,0.5,25.75,1.0,3.0,0.25,['Lightweight']
130,Ashlee Evans-Smith,49.56,0.78,0.0,0.0,50.34,3.0,6.0,0.33,"[""Women's Bantamweight"" ""Women's Flyweight""]"
131,Drew McFedries,12.0,0.22,0.11,0.67,13.0,4.0,5.0,0.44,['Middleweight' 'Light Heavyweight']
132,Roger Bowling,26.33,1.67,1.0,0.0,29.0,1.0,2.0,0.33,['Lightweight']
133,Ben Alloway,10.33,0.33,0.0,0.33,10.99,1.0,2.0,0.33,['Welterweight']
134,Matthew Riddle,45.0,2.78,0.56,0.0,48.34,6.0,3.0,0.67,['Welterweight' 'Middleweight']
135,Fredson Paixao,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,['Featherweight']
136,Alex Caceres,49.81,0.44,0.59,0.19,51.03,16.0,11.0,0.59,['Featherweight' 'Bantamweight']
137,Travis Fulton,15.5,0.5,0.0,0.5,16.5,1.0,1.0,0.5,['Heavyweight']
138,Cain Velasquez,37.31,1.62,0.15,0.62,39.699999999999996,10.0,3.0,0.77,['Heavyweight']
139,Mario Bautista,42.33,1.44,0.67,0.11,44.55,7.0,2.0,0.78,['Bantamweight']
140,Tim Boetsch,26.46,0.88,0.46,0.29,28.09,12.0,12.0,0.5,['Middleweight' 'Light Heavyweight']
141,Tatsuya Kawajiri,22.67,3.0,0.33,0.0,26.0,3.0,3.0,0.5,['Featherweight']
